Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,4.99999999999978
0.002,0,-0,-180,9.99999999999961
0.004,0,-0,-180,9.9999999999989
0.006,0,-0,-180,9.99999999999867
0.008,0,-0,-180,9.99999999999888
0.01,0,-0,-180,9.99999999999895
0.012,0,-0,-180,9.99999999999899
0.014,0,-0,-180,9.99999999999903
0.016,0,-0,-180,9.99999999999905
0.018,0,-0,-180,9.99999999999933
0.02,0,-0,-180,9.99999999999935
0.022,0,-0,-180,9.99999999999935
0.024,0,-0,-180,9.99999999999931
0.026,0,-0,-180,9.99999999999934
0.028,0,-0,-180,9.99999999999937
0.03,0,-0,-180,9.99999999999579
0.032,0,-0,-180,9.99999999999596
0.034,0,-0,-180,9.99999999999612
0.036,0,-0,-180,9.99999999999626
0.038,0,-0,-180,9.99999999999633
0.04,0,-0,-180,9.99999999999642
0.042,0,-0,-180,9.99999999999664
0.044,0,-0,-180,9.99999999999715
0.046,0,-0,-180,9.99999999999757
0.048,0,-0,-180,9.99999999999767
0.05,0,-0,-180,9.99999999999791
0.052,0,-0,-180,9.99999999999779
0.054,0,-0,-180,9.99999999999797
0.056,0,-0,-180,9.9999999999983
0.058,0,-0,-180,9.99999999999829
0.06,0,-0,-180,9.99999999999777
0.062,0,-0,-180,9.99999999999743
0.064,0,-0,-180,9.99999999999726
0.066,0,-0,-180,9.99999999999728
0.068,0,-0,-180,9.99999999999731
0.07,0,-0,-180,9.99999999999733
0.072,0,-0,-180,9.99999999999734
0.074,0,-0,-180,9.99999999999736
0.076,0,-0,-180,9.99999999999737
0.078,0,-0,-180,9.99999999999738
0.08,0,-0,-180,9.99999999999739
0.082,0,-0,-180,9.9999999999974
0.084,0,-0,-180,9.99999999999741
0.086,0,-0,-180,9.99999999999741
0.088,0,-0,-180,9.99999999999742
0.09,0,-0,-180,9.99999999999743
0.092,0,-0,-180,9.99999999999743
0.094,0,-0,-180,9.99999999999744
0.096,0,-0,-180,9.99999999999744
0.098,0,-0,-180,9.99999999999745
0.1,0,-0,-180,9.99999999999745
0.102,0,-0,-180,9.99999999999745
0.104,0,-0,-180,9.99999999999745
0.106,0,-0,-180,9.99999999999745
0.108,0,-0,-180,9.99999999999745
0.11,0,-0,-180,9.99999999999745
0.112,0,-0,-180,9.99999999999745
0.114,0,-0,-180,9.99999999999745
0.116,0,-0,-180,9.99999999999745
0.118,0,-0,-180,9.99999999999745
0.12,0,-0,-180,9.99999999999746
0.122,0,-0,-180,9.99999999999746
0.124,0,-0,-180,9.99999999999746
0.126,0,-0,-180,9.99999999999746
0.128,0,-0,-180,9.99999999999746
0.13,0,-0,-180,9.99999999999746
0.132,0,-0,-180,9.99999999999746
0.134,0,-0,-180,9.99999999999746
0.136,0,-0,-180,9.99999999999746
0.138,0,-0,-180,9.99999999999746
0.14,0,-0,-180,9.99999999999746
0.142,0,-0,-180,9.99999999999746
0.144,0,-0,-180,9.99999999999746
0.146,0,-0,-180,9.99999999999746
0.148,0,-0,-180,9.99999999999746
0.15,0,-0,-180,9.99999999999746
0.152,0,-0,-180,9.99999999999746
0.154,0,-0,-180,9.99999999999746
0.156,0,-0,-180,9.99999999999746
0.158,0,-0,-180,9.99999999999746
0.16,0,-0,-180,9.99999999999746
0.162,0,-0,-180,9.99999999999746
0.164,0,-0,-180,9.99999999999746
0.166,0,-0,-180,9.99999999999746
0.168,0,-0,-180,9.99999999999746
0.17,0,-0,-180,9.99999999999746
0.172,0,-0,-180,9.99999999999746
0.174,0,-0,-180,9.99999999999746
0.176,0,-0,-180,9.99999999999746
0.178,0,-0,-180,9.99999999999746
0.18,0,-0,-180,9.99999999999746
0.182,0,-0,-180,9.99999999999746
0.184,0,-0,-180,9.99999999999746
0.186,0,-0,-180,9.99999999999746
0.188,0,-0,-180,9.99999999999746
0.19,0,-0,-180,9.99999999999746
0.192,0,-0,-180,9.99999999999746
0.194,0,-0,-180,9.99999999999746
0.196,0,-0,-180,9.99999999999746
0.198,0,-0,-180,9.99999999999746
0.2,0,-0,-180,9.99999999999746
0.202,0,-0,-180,9.99999999999746
0.204,0,-0,-180,9.99999999999746
0.206,0,-0,-180,9.99999999999746
0.208,0,-0,-180,9.99999999999746
0.21,0,-0,-180,9.99999999999746
0.212,0,-0,-180,9.99999999999746
0.214,0,-0,-180,9.99999999999746
0.216,0,-0,-180,9.99999999999746
0.218,0,-0,-180,9.99999999999746
0.22,0,-0,-180,9.99999999999746
0.222,0,-0,-180,9.99999999999746
0.224,0,-0,-180,9.99999999999746
0.226,0,-0,-180,9.99999999999746
0.228,0,-0,-180,9.99999999999746
0.23,0,-0,-180,9.99999999999746
0.232,0,-0,-180,9.99999999999746
0.234,0,-0,-180,9.99999999999746
0.236,0,-0,-180,9.99999999999746
0.238,0,-0,-180,9.99999999999746
0.24,0,-0,-180,9.99999999999746
0.242,0,-0,-180,9.99999999999746
0.244,0,-0,-180,9.99999999999746
0.246,0,-0,-180,9.99999999999746
0.248,0,-0,-180,9.99999999999746
0.25,0,-0,-180,9.99999999999746
0.252,0,-0,-180,9.99999999999746
0.254,0,-0,-180,9.99999999999746
0.256,0,-0,-180,9.99999999999746
0.258,0,-0,-180,9.99999999999746
0.26,0,-0,-180,9.99999999999746
0.262,0,-0,-180,9.99999999999746
0.264,0,-0,-180,9.99999999999746
0.266,0,-0,-180,9.99999999999746
0.268,0,-0,-180,9.99999999999746
0.27,0,-0,-180,9.99999999999746
0.272,0,-0,-180,9.99999999999746
0.274,0,-0,-180,9.99999999999746
0.276,0,-0,-180,9.99999999999746
0.278,0,-0,-180,9.99999999999746
