Time,Theta_1,Theta_2,Alpha,Input
0.09,0,-0,-174.19921875,9.99999999997716
0.092,0,-0,-174.0234375,9.99999999997691
0.094,0,-0,-173.84765625,9.99999999997667
0.096,0,-0,-173.671875,9.99999999997643
0.098,0,-0,-173.49609375,9.99999999997621
0.1,0,-0,-173.3203125,9.999999999976
0.102,0,-0,-173.14453125,9.9999999999758
0.104,0,-0,-172.96875,9.99999999997561
0.106,0,-0,-172.79296875,9.99999999997548
0.108,0,-0,-172.6171875,9.99999999997531
0.11,0,-0,-172.44140625,9.99999999997514
0.112,0,-0,-172.265625,9.99999999997498
0.114,0,-0,-172.08984375,9.99999999997483
0.116,0,-0,-171.9140625,9.99999999997468
0.118,0,-0,-171.73828125,9.99999999997454
0.12,0,-0,-171.5625,9.99999999997441
0.122,0,-0,-171.38671875,9.99999999997428
0.124,0,-0,-171.2109375,9.99999999997416
0.126,0,-0,-171.03515625,9.99999999997403
0.128,0,-0,-170.859375,9.99999999997392
0.13,0,-0,-170.68359375,9.99999999997381
0.132,0,-0,-170.5078125,9.9999999999737
0.134,0,-0,-170.33203125,9.99999999999624
0.136,0,-0,-170.15625,9.99999999999622
0.138,0,-0,-169.98046875,9.99999999999621
0.14,0,-0,-169.8046875,9.99999999999619
0.142,0,-0,-169.62890625,9.99999999999618
0.144,0,-0,-169.453125,9.99999999999617
0.146,0,-0,-169.27734375,9.99999999999617
0.148,0,-0,-169.1015625,9.99999999999615
0.15,0,-0,-168.92578125,9.99999999999614
0.152,0,-0,-168.75,9.99999999999613
0.154,0,-0,-168.75,9.99999999999617
0.156,0,-0,-168.57421875,9.99999999999615
0.158,0,-0,-168.3984375,9.99999999999614
0.16,0,-0,-168.22265625,9.99999999999612
0.162,0,-0,-168.046875,9.9999999999961
0.164,0,-0,-167.87109375,9.99999999999609
0.166,0,-0,-167.6953125,9.99999999999607
0.168,0,-0,-167.51953125,9.99999999999606
0.17,0,-0,-167.34375,9.99999999999604
0.172,0,-0,-167.16796875,9.99999999999603
0.174,0,-0,-166.9921875,9.99999999999602
0.176,0,-0,-166.81640625,9.999999999996
0.178,0,-0,-166.640625,9.99999999999599
0.18,0,-0,-166.46484375,9.99999999999597
0.182,0,-0,-166.2890625,9.99999999999596
0.184,0,-0,-166.11328125,9.99999999999595
0.186,0,-0,-165.9375,9.99999999999593
0.188,0,-0,-165.76171875,9.99999999999592
0.19,0,-0,-165.5859375,9.99999999999591
0.192,0,-0,-165.41015625,9.99999999999589
0.194,0,-0,-165.41015625,9.99999999999594
0.196,0,-0,-165.234375,9.99999999999593
0.198,0,-0,-165.05859375,9.99999999999591
0.2,0,-0,-164.8828125,9.99999999999589
0.202,0,-0,-164.70703125,9.99999999999588
0.204,0,-0,-164.53125,9.99999999999586
0.206,0,-0,-164.35546875,9.99999999999584
0.208,0,-0,-164.1796875,9.99999999999583
0.21,0,-0,-164.00390625,9.99999999999581
0.212,0,-0,-163.828125,9.9999999999958
0.214,0,-0,-163.65234375,9.99999999999578
0.216,0,-0,-163.4765625,9.99999999999578
0.218,0,-0,-163.30078125,9.99999999999577
0.22,0,-0,-163.125,9.99999999999576
0.222,0,-0,-162.94921875,9.99999999999575
0.224,0,-0,-162.94921875,9.99999999999578
0.226,0,-0,-162.7734375,9.99999999999577
0.228,0,-0,-162.59765625,9.99999999999576
0.23,0,-0,-162.421875,9.99999999999574
0.232,0,-0,-162.24609375,9.99999999999572
0.234,0,-0,-162.0703125,9.99999999999571
0.236,0,-0,-161.89453125,9.99999999999569
0.238,0,-0,-161.71875,9.99999999999567
0.24,0,-0,-161.54296875,9.99999999999565
0.242,0,-0,-161.3671875,9.99999999999564
0.244,0,-0,-161.19140625,9.99999999999562
0.246,0,-0,-161.015625,9.9999999999956
0.248,0,-0,-160.83984375,9.99999999999559
0.25,0,-0,-160.83984375,9.99999999999564
0.252,0,-0,-160.6640625,9.99999999999562
0.254,0,-0,-160.48828125,9.9999999999956
0.256,0,-0,-160.3125,9.99999999999558
0.258,0,-0,-160.13671875,9.99999999999556
0.26,0,-0,-159.9609375,9.99999999999554
0.262,0,-0,-159.78515625,9.99999999999552
0.264,0,-0,-159.609375,9.9999999999955
0.266,0,-0,-159.43359375,9.99999999999548
0.268,0,-0,-159.2578125,9.99999999999546
0.27,0,-0,-159.08203125,9.99999999999545
0.272,0,-0,-159.08203125,9.99999999999551
0.274,0,-0,-158.90625,9.99999999999548
0.276,0,-0,-158.73046875,9.99999999999546
0.278,0,-0,-158.5546875,9.99999999999544
0.28,0,-0,-158.37890625,9.99999999999542
0.282,0,-0,-158.203125,9.99999999999539
0.284,0,-0,-158.02734375,9.99999999999537
0.286,0,-0,-157.8515625,9.99999999999535
0.288,0,-0,-157.67578125,9.99999999999534
0.29,0,-0,-157.5,9.99999999999534
0.292,0,-0,-157.5,9.99999999999538
0.294,0,-0,-157.32421875,9.99999999999535
0.296,0,-0,-157.1484375,9.99999999999534
0.298,0,-0,-156.97265625,9.99999999999533
0.3,0,-0,-156.796875,9.99999999999533
0.302,0,-0,-156.62109375,9.99999999999531
0.304,0,-0,-156.4453125,9.9999999999953
0.306,0,-0,-156.26953125,9.99999999999528
0.308,0,-0,-156.09375,9.99999999999527
0.31,0,-0,-156.09375,9.99999999999531
0.312,0,-0,-155.91796875,9.99999999999529
0.314,0,-0,-155.7421875,9.99999999999528
0.316,0,-0,-155.56640625,9.99999999999526
0.318,0,-0,-155.390625,9.99999999999524
0.32,0,-0,-155.21484375,9.99999999999523
0.322,0,-0,-155.0390625,9.99999999999521
0.324,0,-0,-154.86328125,9.99999999999519
0.326,0,-0,-154.6875,9.99999999999518
0.328,0,-0,-154.6875,9.99999999999523
0.33,0,-0,-154.51171875,9.99999999999521
0.332,0,-0,-154.3359375,9.99999999999519
0.334,0,-0,-154.16015625,9.99999999999517
0.336,0,-0,-153.984375,9.99999999999515
0.338,0,-0,-153.80859375,9.99999999999513
0.34,0,-0,-153.6328125,9.99999999999511
0.342,0,-0,-153.45703125,9.9999999999951
0.344,0,-0,-153.45703125,9.99999999999515
0.346,0,-0,-153.28125,9.99999999999512
0.348,0,-0,-153.10546875,9.99999999999511
0.35,0,-0,-152.9296875,9.99999999999509
0.352,0,-0,-152.75390625,9.99999999999508
0.354,0,-0,-152.578125,9.99999999999507
0.356,0,-0,-152.40234375,9.99999999999505
0.358,0,-0,-152.2265625,9.99999999999504
0.36,0,-0,-152.2265625,9.99999999999508
